ticker,name,sector
BSWD.JK,Bank of India Indonesia Tbk,Keuangan
BTEK.JK,Bumi Teknokultura Unggul Tbk,Barang Konsumen Primer
BTEL.JK,Bakrie Telecom Tbk,Infrastruktur
BTON.JK,Betonjaya Manunggal Tbk,Barang Baku
BTPN.JK,PT Bank SMBC Indonesia Tbk,Keuangan
BTPS.JK,PT Bank BTPN Syariah Tbk.,Keuangan
BUAH.JK,PT Segar Kumala Indonesia Tbk,Barang Konsumen Primer
BUDI.JK,PT Budi Starch & Sweetener Tbk.,Barang Konsumen Primer
BUKA.JK,PT Bukalapak.com Tbk,Teknologi
BUKK.JK,Bukaka Teknik Utama Tbk,Infrastruktur
BULL.JK,PT Buana Lintas Lautan Tbk.,Energi
BUMI.JK,Bumi Resources Tbk,Energi
BUVA.JK,PT Bukit Uluwatu Villa Tbk,Barang Konsumen Non-Primer
BVIC.JK,Bank Victoria International Tbk,Keuangan
BWPT.JK,Eagle High Plantations Tbk,Barang Konsumen Primer
BYAN.JK,Bayan Resources Tbk,Energi
CAKK.JK,PT Cahayaputra Asa Keramik Tbk.,Perindustrian
CAMP.JK,PT Campina Ice Cream Industry Tbk.,Barang Konsumen Primer
CANI.JK,PT Capitol Nusantara Indonesia Tbk.,Energi
CARE.JK,PT Metro Healthcare Indonesia Tbk,Kesehatan
CARS.JK,PT Industri dan Perdagangan Bintraco Dharma Tbk,Barang Konsumen Non-Primer
CASA.JK,PT Capital Financial Indonesia Tbk,Keuangan
CASH.JK,PT Cashlez Worldwide Indonesia Tbk.,Teknologi
CASS.JK,Cahaya Aero Services Tbk,Infrastruktur
CBDK.JK,PT Bangun Kosambi Sukses Tbk,Properti & Real Estat
CBMF.JK,PT Cahaya Bintang Medan Tbk,Barang Konsumen Non-Primer
CBPE.JK,PT Citra Buana Prasida Tbk,Properti & Real Estat
CBRE.JK,PT Cakra Buana Resources Energi Tbk,Energi
CBUT.JK,PT Citra Borneo Utama Tbk,Barang Konsumen Primer
CCSI.JK,PT Communication Cable Systems Indonesia Tbk.,Perindustrian
CDIA.JK,PT Chandra Daya Investasi Tbk,Infrastruktur
CEKA.JK,PT Wilmar Cahaya Indonesia Tbk.,Barang Konsumen Primer
CENT.JK,PT Centratama Telekomunikasi Indonesia Tbk.,Infrastruktur
CFIN.JK,Clipan Finance Indonesia Tbk,Keuangan
CGAS.JK,PT Citra Nusantara Gemilang Tbk.,Energi
CHEK.JK,PT Diastika Biotekindo Tbk,Kesehatan
CHEM.JK,PT Chemstar Indonesia Tbk,Barang Baku
CHIP.JK,PT Pelita Teknologi Global Tbk,Teknologi
CINT.JK,PT Chitose Internasional Tbk,Barang Konsumen Non-Primer
CITA.JK,Cita Mineral Investindo Tbk,Barang Baku
CITY.JK,PT Natura City Developments Tbk.,Properti & Real Estat
CLAY.JK,PT Citra Putra Realty Tbk,Barang Konsumen Non-Primer
CLEO.JK,PT Sariguna Primatirta Tbk,Barang Konsumen Primer
CLPI.JK,Colorpak Indonesia Tbk,Barang Baku
CMNP.JK,Citra Marga Nusaphala Persada Tbk,Infrastruktur
CMNT.JK,PT Cemindo Gemilang Tbk,Barang Baku
CMPP.JK,PT AirAsia Indonesia Tbk,Transportasi & Logistik
CMRY.JK,PT Cisarua Mountain Dairy Tbk,Barang Konsumen Primer
CNKO.JK,Exploitasi Energi Indonesia Tbk,Energi
CNMA.JK,PT Nusantara Sejahtera Raya Tbk,Barang Konsumen Non-Primer
CNTX.JK,PT Century Textile Industry Tbk,Barang Konsumen Non-Primer
COAL.JK,PT Black Diamond Resources Tbk,Energi
COCO.JK,PT Wahana Interfood Nusantara Tbk.,Barang Konsumen Primer
COIN.JK,PT Indokripto Koin Semesta Tbk,Keuangan
COWL.JK,COWELL DEVELOPMENT Tbk,Properti & Real Estat
CPIN.JK,Charoen Pokphand Indonesia Tbk,Barang Konsumen Primer
CPRI.JK,PT Capri Nusa Satu Properti Tbk.,Properti & Real Estat
CPRO.JK,Central Proteina Prima Tbk,Barang Konsumen Primer
CRAB.JK,PT Toba Surimi Industries Tbk,Barang Konsumen Primer
CRSN.JK,PT Carsurin Tbk,Perindustrian
CSAP.JK,Catur Sentosa Adiprana Tbk,Barang Konsumen Non-Primer
CSIS.JK,PT Cahayasakti Investindo Sukses Tbk,Properti & Real Estat
CSMI.JK,PT Cipta Selera Murni Tbk.,Barang Konsumen Non-Primer
CSRA.JK,PT Cisadane Sawit Raya Tbk.,Barang Konsumen Primer
CTBN.JK,Citra Tubindo Tbk,Barang Baku
CTRA.JK,Ciputra Development Tbk,Properti & Real Estat
CTTH.JK,Citatah Tbk,Perindustrian
CUAN.JK,PT Petrindo Jaya Kreasi Tbk,Energi
CYBR.JK,PT ITSEC Asia Tbk.,Teknologi
DAAZ.JK,PT Daaz Bara Lestari Tbk,Barang Baku
DADA.JK,PT Diamond Citra Propertindo Tbk.,Properti & Real Estat
DART.JK,Duta Anggada Realty Tbk,Properti & Real Estat
DATA.JK,PT Remala Abadi Tbk,Infrastruktur
DAYA.JK,PT Duta Intidaya Tbk.,Barang Konsumen Primer
DCII.JK,PT DCI Indonesia Tbk,Teknologi
DEAL.JK,PT Dewata Freightinternational Tbk.,Transportasi & Logistik
DEFI.JK,Danasupra Erapacific Tbk,Keuangan
DEPO.JK,PT Caturkarda Depo Bangunan Tbk,Barang Konsumen Non-Primer
DEWA.JK,Darma Henwa Tbk,Energi
DEWI.JK,PT Dewi Shri Farmindo Tbk,Barang Konsumen Primer
DFAM.JK,PT Dafam Property Indonesia Tbk,Barang Konsumen Non-Primer
DGIK.JK,Nusa Konstruksi Enjiniring  Tbk,Infrastruktur
DGNS.JK,PT Diagnos Laboratorium Utama Tbk,Kesehatan
DGWG.JK,PT Delta Giri Wacana Tbk,Barang Baku
DIGI.JK,PT Arkadia Digital Media Tbk,Barang Konsumen Non-Primer
DILD.JK,Intiland Development Tbk,Properti & Real Estat
DIVA.JK,PT Distribusi Voucher Nusantara Tbk,Teknologi
DKFT.JK,Central Omega Resources Tbk,Barang Baku
DKHH.JK,PT Cipta Sarana Medika Tbk,Kesehatan
DLTA.JK,Delta Djakarta Tbk,Barang Konsumen Primer
DMAS.JK,PT Puradelta Lestari Tbk.,Properti & Real Estat
DMMX.JK,PT Digital Mediatama Maxima Tbk,Teknologi
DMND.JK,PT Diamond Food Indonesia Tbk.,Barang Konsumen Primer
DNAR.JK,PT Bank Oke Indonesia Tbk.,Keuangan
DNET.JK,PT Indoritel Makmur Internasional Tbk.,Keuangan
DOID.JK,PT BUMA Internasional Grup Tbk,Energi
DOOH.JK,PT Era Media Sejahtera Tbk,Barang Konsumen Non-Primer
DOSS.JK,PT Global Sukses Digital Tbk,Barang Konsumen Non-Primer
DPNS.JK,Duta Pertiwi Nusantara Tbk,Barang Baku
DPUM.JK,PT Dua Putra Utama Makmur Tbk.,Barang Konsumen Primer
DRMA.JK,PT Dharma Polimetal Tbk,Barang Konsumen Non-Primer
DSFI.JK,Dharma Samudera Fishing Ind. Tbk,Barang Konsumen Primer
DSNG.JK,PT Dharma Satya Nusantara Tbk.,Barang Konsumen Primer
DSSA.JK,Dian Swastatika Sentosa Tbk,Energi
DUCK.JK,PT Jaya Bersama Indo Tbk.,Barang Konsumen Non-Primer
DUTI.JK,Duta Pertiwi Tbk,Properti & Real Estat
DVLA.JK,Darya-Varia Laboratoria Tbk,Kesehatan
DWGL.JK,PT Dwi Guna Laksana Tbk,Energi
DYAN.JK,PT Dyandra Media International Tbk.,Perindustrian
EAST.JK,PT Eastparc Hotel Tbk,Barang Konsumen Non-Primer
ECII.JK,PT Electronic City Indonesia Tbk.,Barang Konsumen Non-Primer
EDGE.JK,PT Indointernet Tbk.,Teknologi
EKAD.JK,Ekadharma International Tbk,Barang Baku
ELIT.JK,PT Data Sinergitama Jaya Tbk,Teknologi
ELPI.JK,PT Pelayaran Nasional Ekalya Purnamasari Tbk,Transportasi & Logistik
ELSA.JK,Elnusa Tbk,Energi
ELTY.JK,Bakrieland Development Tbk,Properti & Real Estat
EMAS.JK,PT Merdeka Gold Resources Tbk,Barang Baku
EMDE.JK,Megapolitan Developments Tbk,Properti & Real Estat
EMTK.JK,Elang Mahkota Teknologi Tbk,Teknologi
ENAK.JK,PT Champ Resto Indonesia Tbk,Barang Konsumen Non-Primer
ENRG.JK,Energi Mega Persada Tbk,Energi
ENVY.JK,PT Envy Technologies Indonesia Tbk,Teknologi
ENZO.JK,PT Morenzo Abadi Perkasa Tbk,Barang Konsumen Primer
EPAC.JK,PT Megalestari Epack Sentosaraya Tbk.,Barang Baku
EPMT.JK,Enseval Putera Megatrading Tbk,Barang Konsumen Primer
ERAA.JK,Erajaya Swasembada Tbk,Barang Konsumen Non-Primer
ERAL.JK,PT Sinar Eka Selaras Tbk,Barang Konsumen Non-Primer
ERTX.JK,Eratex Djaja Tbk,Barang Konsumen Non-Primer
ESIP.JK,PT Sinergi Inti Plastindo Tbk.,Barang Baku
ESSA.JK,ESSA Industries Indonesia Tbk,Barang Baku
ESTA.JK,PT Esta Multi Usaha Tbk.,Barang Konsumen Non-Primer
ESTI.JK,Ever Shine Textile Industry Tbk,Barang Konsumen Non-Primer
ETWA.JK,Eterindo Wahanatama Tbk,Barang Baku
EURO.JK,PT Estee Gold Feet Tbk,Barang Konsumen Primer
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk,Infrastruktur
FAPA.JK,PT FAP Agri Tbk,Barang Konsumen Primer
FAST.JK,PT Fast Food Indonesia Tbk,Barang Konsumen Non-Primer
FASW.JK,Fajar Surya Wisesa Tbk,Barang Baku
